No.,Word,URL,Status
1,祂,http://img.hw175.com/ShuFaYanZi/font/1/d71f5d4cb1514acc/16b82a0aa61c43ad93d7c012748f97af.png,N
2,祂,http://img.hw175.com/ShuFaYanZi/font/1/2d9a954fc32d57e3/233f645c4af78d7ae158b6899cb07730.png,N
3,祂,http://img.hw175.com/ShuFaYanZi/font/0/4edd3a81c0665699/2a67ac924be881a5dbf00d58e09589a0.png,N
4,祂,http://img.hw175.com/ShuFaYanZi/font/1/32b8d981fdf10cd4/3f13afc64608133bff132f9c95182d9f.png,N
5,祂,http://img.hw175.com/ShuFaYanZi/font/1/d8c30150bba6c0f0/7a79f78a14c75460cfeccf9e8264cb1f.png,N
6,祂,http://img.hw175.com/ShuFaYanZi/font/0/525ad20660ea6562/897d9c0bd86717757232cf7ad3d8ca1b.png,N
7,祂,http://img.hw175.com/ShuFaYanZi/font/0/dc54daadd4a92e82/904b27235d5a2516f234e364b5996219.png,N
8,祂,http://img.hw175.com/ShuFaYanZi/font/0/61597e48bfd5e509/9f5ecae00ffc0302ca6f74c240a7c199.png,N
9,祂,http://img.hw175.com/ShuFaYanZi/font/1/a3c0290d4173ad30/c5ed91d4be74489e173984875987985e.png,N
10,祂,http://img.hw175.com/ShuFaYanZi/font/0/194c9ac2a6b2fea9/d220da8abf3ac8590540295a98b5eab2.png,N
11,祂,http://img.hw175.com/ShuFaYanZi/font/1/25ebaa0dfc432c10/d78f1d9d280ea7ebe0ff926c5eff4dea.png,N
12,祂,http://img.hw175.com/ShuFaYanZi/font/1/d954ce7d7d95a97a/eca46255b10c92229424b985823da56d.png,N
13,祂,http://img.hw175.com/ShuFaYanZi/font/1/e79be0ed3329d234/ed804420ecead13d8b15f2d1f72d6cf1.png,N
14,祂,http://img.hw175.com/ShuFaYanZi/font/1/6bb767549b1e7041/f283c8ccc532c294335f6247e8514a2c.png,N
15,祂,http://img.hw175.com/ShuFaYanZi/font/0/df2ef94421bdffaf/f6a54ac9aab617618a56351bc429e454.png,N
16,囯,http://img.hw175.com/ShuFaYanZi/font/1/d8c30150bba6c0f0/e56ae6eae8b8f9537a41cb263ae608bc.png,N
17,埜,http://img.hw175.com/ShuFaYanZi/zitie/H2/f68c7094dc9f4af9fc07393e23068172/slices/15/5b3314c9ba782d3360a87b4ac6ec2d70.png,N
18,埜,http://img.hw175.com/ShuFaYanZi/font/1/25ebaa0dfc432c10/284993f3d6b1e58bcc381bbc1a394f67.png,N
